date,date_s1,name,symbol,saved_csv,signal,signal_s1,signal_plus
2025-12-11 18:00:00,2025-12-11 18:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,0,01
2025-12-11 18:10:00,2025-12-11 18:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 18:20:00,2025-12-11 18:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 18:30:00,2025-12-11 18:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 18:40:00,2025-12-11 18:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 18:50:00,2025-12-11 18:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 19:00:00,2025-12-11 18:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 19:10:00,2025-12-11 19:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 19:20:00,2025-12-11 19:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 19:30:00,2025-12-11 19:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 19:40:00,2025-12-11 19:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 19:50:00,2025-12-11 19:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 20:00:00,2025-12-11 19:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 20:10:00,2025-12-11 20:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 20:20:00,2025-12-11 20:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 20:30:00,2025-12-11 20:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 20:40:00,2025-12-11 20:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 20:50:00,2025-12-11 20:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 21:00:00,2025-12-11 20:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 21:10:00,2025-12-11 21:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 21:20:00,2025-12-11 21:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 21:30:00,2025-12-11 21:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 21:40:00,2025-12-11 21:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 21:50:00,2025-12-11 21:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 22:00:00,2025-12-11 21:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 22:10:00,2025-12-11 22:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 22:20:00,2025-12-11 22:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 22:30:00,2025-12-11 22:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 22:40:00,2025-12-11 22:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 22:50:00,2025-12-11 22:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 23:00:00,2025-12-11 22:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 23:10:00,2025-12-11 23:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 23:20:00,2025-12-11 23:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 23:30:00,2025-12-11 23:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 23:40:00,2025-12-11 23:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-11 23:40:00,2025-12-11 23:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12,2025-12-11 23:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 00:10:00,2025-12-12,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 00:20:00,2025-12-12 00:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 00:30:00,2025-12-12 00:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 00:40:00,2025-12-12 00:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 00:50:00,2025-12-12 00:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 01:00:00,2025-12-12 00:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 01:10:00,2025-12-12 01:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 01:20:00,2025-12-12 01:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 01:30:00,2025-12-12 01:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 01:40:00,2025-12-12 01:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 01:50:00,2025-12-12 01:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 02:00:00,2025-12-12 01:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 02:10:00,2025-12-12 02:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 02:20:00,2025-12-12 02:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 02:30:00,2025-12-12 02:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 02:40:00,2025-12-12 02:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 02:50:00,2025-12-12 02:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 03:00:00,2025-12-12 02:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 03:10:00,2025-12-12 03:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 03:20:00,2025-12-12 03:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 03:30:00,2025-12-12 03:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 03:40:00,2025-12-12 03:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 03:50:00,2025-12-12 03:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 04:00:00,2025-12-12 03:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 04:10:00,2025-12-12 04:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 04:20:00,2025-12-12 04:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 04:30:00,2025-12-12 04:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 04:40:00,2025-12-12 04:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 04:50:00,2025-12-12 04:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 05:00:00,2025-12-12 04:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 05:10:00,2025-12-12 05:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 05:20:00,2025-12-12 05:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 05:30:00,2025-12-12 05:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 05:40:00,2025-12-12 05:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 05:50:00,2025-12-12 05:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 06:00:00,2025-12-12 05:50:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 06:10:00,2025-12-12 06:00:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 06:20:00,2025-12-12 06:10:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 06:30:00,2025-12-12 06:20:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 06:40:00,2025-12-12 06:30:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
2025-12-12 06:50:00,2025-12-12 06:40:00,201_market_price_usd_ohlc,BTC,201_market_price_usd_ohlc_c_BTC.csv,1,1,11
